Activities by xdante
 
 Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
 false,Untitled,Running,--,"Sat, 20 Sep 2014 13:57",1:58:06,21.14,128,5:35,4:54,179,193,"1,685",--,--,--,--,--,--,
 false,Untitled,Running,--,"Sun, 14 Sep 2014 19:44",58:34,10.02,111,5:51,4:59,162,178,725,--,--,--,--,--,--,
 false,Untitled,Running,--,"Sun, 7 Sep 2014 15:31",1:49:07,19.00,165,5:45,3:07,172,183,"1,446",--,--,--,--,--,--,
 false,Untitled,Running,--,"Sat, 30 Aug 2014 16:02",1:40:52,18.01,178,5:36,1:07,167,182,"1,270",--,--,--,--,--,--,
 false,Untitled,Running,--,"Sun, 24 Aug 2014 12:22",2:01:20,21.10,168,5:45,3:53,165,178,"1,436",--,--,--,--,--,--,
 false,Untitled,Running,--,"Tue, 19 Aug 2014 19:55",51:51,9.50,114,5:27,2:25,172,187,657,--,--,--,--,--,--,
 false,Untitled,Running,--,"Sun, 17 Aug 2014 14:18",1:56:39,19.50,158,5:59,3:52,172,188,"1,454",--,--,--,--,--,--,
 false,Untitled,Running,--,"Thu, 7 Aug 2014 7:25",56:30,9.50,102,5:57,4:49,174,188,730,--,--,--,--,--,--,
 false,Untitled,Running,--,"Tue, 5 Aug 2014 7:19",32:00,5.00,44,6:24,3:29,149,161,329,--,--,--,--,--,--,
 false,Untitled,Running,--,"Fri, 1 Aug 2014 16:14",1:28:07,15.00,163,5:52,4:36,174,204,"1,090",--,--,--,--,--,--,
 false,Untitled,Running,--,"Tue, 29 Jul 2014 20:14",41:33,7.00,43,5:56,4:50,173,192,517,--,--,--,--,--,--,
 false,Untitled,Running,--,"Mon, 28 Jul 2014 7:24",1:00:20,9.50,104,6:21,1:15,161,180,670,--,--,--,--,--,--,
 false,Untitled,Running,--,"Wed, 23 Jul 2014 7:16",44:26,7.00,55,6:21,4:20,167,181,533,--,--,--,--,--,--,
 false,Untitled,Running,--,"Tue, 22 Jul 2014 7:13",1:03:17,9.50,118,6:40,4:29,168,185,777,--,--,--,--,--,--,
 false,Untitled,Running,--,"Sun, 15 Jun 2014 10:55",27:55,5.00,80,5:35,4:46,166,181,331,--,--,--,--,--,--,
 false,Untitled,Running,--,"Sat, 14 Jun 2014 7:04",1:07:04,11.20,137,5:59,4:56,164,181,762,--,--,--,--,--,--,
 false,Untitled,Running,--,"Sat, 7 Jun 2014 7:43",24:58,4.50,60,5:33,3:38,173,186,308,--,--,--,--,--,--,
 false,Untitled,Running,--,"Fri, 6 Jun 2014 7:14",1:08:47,11.00,168,6:15,4:06,162,181,758,--,--,--,--,--,--,
 false,Untitled,Running,--,"Wed, 4 Jun 2014 7:33",27:40,4.50,62,6:09,3:31,160,178,298,--,--,--,--,--,--,
 false,Untitled,Running,--,"Tue, 3 Jun 2014 7:01",1:37:19,12.50,401,7:47,3:00,169,188,"1,290",--,--,--,--,--,--,
 
