,,,,,,,,,,Fitness,Fitness,Fitness,Predicted,Predicted,Predicted,,,,,,,
Day,Date,DoW,Dist,Time,Pace,Speed,HR,Elevation gain,Avg gradient,Indoor,Outdoor,Corrected,Hastings,Oslo,Holmestrand,Route,Notes,Actual km,Month,Week time,Actual pace,Index
1,19-Mar-2012,Monday,,,,,,,,,,,,,,,,,,,,1.000
2,20-Mar-2012,Tuesday,11,1:24:53,0:07:43,7.78,,,,,,,,,,,,,,,,1.001
3,21-Mar-2012,Wednesday,,,,,,,,,,,,,,,,,,,,1.001
4,22-Mar-2012,Thursday,,,,,,,,,,,,,,,,,,,,1.002
5,23-Mar-2012,Friday,,,,,,,,,,,,,,,,,,,,1.002
6,24-Mar-2012,Saturday,6.55,0:54:54,0:08:22,7.16,,,,,,,,,,,,,,,,1.003
7,25-Mar-2012,Sunday,,,,,,,,,,,,,,,,17.55,,2:19:47,7.97,1.003
8,26-Mar-2012,Monday,,,,,,,,,,,,,,,,,,,,1.004
9,27-Mar-2012,Tuesday,4.8,0:30:00,0:06:15,9.60,,,,,,,,,,,,,,,,1.004
10,28-Mar-2012,Wednesday,,,,,,,,,,,,,,,,,,,,1.005
11,29-Mar-2012,Thursday,,,,,,,,,,,,,,,,,,,,1.005
12,30-Mar-2012,Friday,,,,,,,,,,,,,,,,,,,,1.006
13,31-Mar-2012,Saturday,,,,,,,,,,,,,,,,,22.35,,,1.006
14,1-Apr-2012,Sunday,,,,,,,,,,,,,,,,4.8,,0:30:00,6.25,1.007
15,2-Apr-2012,Monday,,,,,,,,,,,,,,,,,,,,1.007
16,3-Apr-2012,Tuesday,,,,,,,,,,,,,,,,,,,,1.008
17,4-Apr-2012,Wednesday,,,,,,,,,,,,,,,,,,,,1.008
18,5-Apr-2012,Thursday,,,,,,,,,,,,,,,,,,,,1.009
19,6-Apr-2012,Friday,,,,,,,,,,,,,,,,,,,,1.009
20,7-Apr-2012,Saturday,,,,,,,,,,,,,,,,,,,,1.010
21,8-Apr-2012,Sunday,,,,,,,,,,,,,,,,0,,0,#DIV/0!,1.010
22,9-Apr-2012,Monday,,,,,,,,,,,,,,,,,,,,1.011
23,10-Apr-2012,Tuesday,,,,,,,,,,,,,,,,,,,,1.011
24,11-Apr-2012,Wednesday,,,,,,,,,,,,,,,,,,,,1.012
25,12-Apr-2012,Thursday,,,,,,,,,,,,,,,,,,,,1.012
26,13-Apr-2012,Friday,,,,,,,,,,,,,,,,,,,,1.013
27,14-Apr-2012,Saturday,,,,,,,,,,,,,,,,,,,,1.013
28,15-Apr-2012,Sunday,,,,,,,,,,,,,,,,0,,0,#DIV/0!,1.014
29,16-Apr-2012,Monday,,,,,,,,,,,,,,,,,,,,1.014
30,17-Apr-2012,Tuesday,,,,,,,,,,,,,,,,,,,,1.015
31,18-Apr-2012,Wednesday,,,,,,,,,,,,,,,,,,,,1.015
32,19-Apr-2012,Thursday,,,,,,,,,,,,,,,,,,,,1.016
33,20-Apr-2012,Friday,,,,,,,,,,,,,,,,,,,,1.016
34,21-Apr-2012,Saturday,,,,,,,,,,,,,,,,,,,,1.017
35,22-Apr-2012,Sunday,,,,,,,,,,,,,,,,0,,0,#DIV/0!,1.017
36,23-Apr-2012,Monday,,,,,,,,,,,,,,,,,,,,1.018
37,24-Apr-2012,Tuesday,,,,,,,,,,,,,,,,,,,,1.018
38,25-Apr-2012,Wednesday,,,,,,,,,,,,,,,,,,,,1.019
39,26-Apr-2012,Thursday,,,,,,,,,,,,,,,,,,,,1.019
40,27-Apr-2012,Friday,,,,,,,,,,,,,,,,,,,,1.020
41,28-Apr-2012,Saturday,,,,,,,,,,,,,,,,,,,,1.020
42,29-Apr-2012,Sunday,3.53,0:22:21,0:06:19,9.48,,,,,,,,,,,,3.53,,0:22:21,6.33,1.021
43,30-Apr-2012,Monday,3.34,0:18:32,0:05:32,10.81,,,,,,,,,,,,,6.87,,,1.021
44,1-May-2012,Tuesday,5.34,0:32:29,0:06:04,9.86,,,,,,,,,,,,,,,,1.022
45,2-May-2012,Wednesday,,,,,,,,,,,,,,,,,,,,1.022
46,3-May-2012,Thursday,,,,,,,,,,,,,,,,,,,,1.023
47,4-May-2012,Friday,2.02,0:10:38,0:05:15,11.40,,,,,,,,,,,,,,,,1.023
48,5-May-2012,Saturday,10.24,0:59:54,0:05:50,10.26,,,,,,,,,,,,,,,,1.024
49,6-May-2012,Sunday,,,,,,,,,,,,,,,,20.94,,2:01:33,5.80,1.024
50,7-May-2012,Monday,,,,,,,,,,,,,,,,,,,,1.025
51,8-May-2012,Tuesday,3.46,0:23:59,0:06:55,8.66,,,,,,,,,,,,,,,,1.025
52,9-May-2012,Wednesday,,,,,,,,,,,,,,,,,,,,1.026
53,10-May-2012,Thursday,,,,,,,,,,,,,,,,,,,,1.026
54,11-May-2012,Friday,,,,,,,,,,,,,,,,,,,,1.027
55,12-May-2012,Saturday,1.75,0:08:25,0:04:48,12.48,,,,,,,,,,,,,,,,1.027
56,13-May-2012,Sunday,10.56,1:13:34,0:06:57,8.61,,,,,,,,,,,,15.77,,1:45:58,6.72,1.028
57,14-May-2012,Monday,,,,,,,,,,,,,,,,,,,,1.028
58,15-May-2012,Tuesday,6.09,0:46:23,0:07:36,7.88,,,,,,,,,,,,,,,,1.029
59,16-May-2012,Wednesday,,,,,,,,,,,,,,,,,,,,1.029
60,17-May-2012,Thursday,,,,,,,,,,,,,,,,,,,,1.030
61,18-May-2012,Friday,5.42,0:29:26,0:05:25,11.05,,,,,,,,,,,,,,,,1.030
62,19-May-2012,Saturday,,,,,,,,,,,,,,,,,,,,1.031
63,20-May-2012,Sunday,13.54,1:23:16,0:06:08,9.76,,,,,,,,,,,,25.05,,2:39:05,6.35,1.031
64,21-May-2012,Monday,,,,,,,,,,,,,,,,,,,,1.032
65,22-May-2012,Tuesday,8.13,0:59:37,0:07:19,8.18,,,,,,,,,,,,,,,,1.033
66,23-May-2012,Wednesday,,,,,,,,,,,,,,,,,,,,1.033
67,24-May-2012,Thursday,5.03,0:28:10,0:05:35,10.71,,,,,,,,,,,,,,,,1.034
68,25-May-2012,Friday,,,,,,,,,,,,,,,,,,,,1.034
69,26-May-2012,Saturday,12.07,1:21:28,0:06:44,8.89,,,,,,,,,,,,,,,,1.035
70,27-May-2012,Sunday,,,,,,,,,,,,,,,,25.23,,2:49:15,6.70,1.035
71,28-May-2012,Monday,,,,,,,,,,,,,,,,,,,,1.036
72,29-May-2012,Tuesday,10,0:56:54,0:05:41,10.54,,,,,,,,,,,,,,,,1.036
73,30-May-2012,Wednesday,,,,,,,,,,,,,,,,,,,,1.037
74,31-May-2012,Thursday,8,0:53:04,0:06:38,9.05,,,,,,,,,,,,,101.65,,,1.037
75,1-Jun-2012,Friday,,,,,,,,,,,,,,,,,,,,1.038
76,2-Jun-2012,Saturday,12,1:08:10,0:05:40,10.56,,,,,,,,,,,,,,,,1.038
77,3-Jun-2012,Sunday,6.3,0:42:00,0:06:40,9.00,,,,,,,,,,,,36.3,,3:40:08,6.07,1.039
78,4-Jun-2012,Monday,,,,,,,,,,,,,,,,,,,,1.039
79,5-Jun-2012,Tuesday,10.2,1:10:43,0:06:55,8.65,,,,,,,,,,,,,,,,1.040
80,6-Jun-2012,Wednesday,,,,,,,,,,,,,,,,,,,,1.040
81,7-Jun-2012,Thursday,10,1:01:12,0:06:07,9.80,,,,,,,,,,,,,,,,1.041
82,8-Jun-2012,Friday,,,,,,,,,,,,,,,,,,,,1.041
83,9-Jun-2012,Saturday,15.86,1:38:19,0:06:11,9.68,,,,,,,,,,,,,,,,1.042
84,10-Jun-2012,Sunday,7,0:44:20,0:06:20,9.47,,,,,,,,,,,,43.06,,4:34:34,6.38,1.042
85,11-Jun-2012,Monday,,,,,,,,,,,,,,,,,,,,1.043
86,12-Jun-2012,Tuesday,,,,,,,,,,,,,,,,,,,,1.043
87,13-Jun-2012,Wednesday,7.7,0:46:58,0:06:05,9.84,,,,,,,,,,,,,,,,1.044
88,14-Jun-2012,Thursday,11.5,1:05:27,0:05:41,10.54,,,,,,,,,,,,,,,,1.044
89,15-Jun-2012,Friday,,,,,,,,,,,,,,,,,,,,1.045
90,16-Jun-2012,Saturday,16.5,1:44:30,0:06:20,9.47,,,,,,,,,,,,,,,,1.045
91,17-Jun-2012,Sunday,9.07,0:57:26,0:06:19,9.48,,,,,,,,,,,,44.77,,4:34:21,6.13,1.046
92,18-Jun-2012,Monday,,,,,,,,,,,,,,,,,,,,1.047
93,19-Jun-2012,Tuesday,8.87,0:55:43,0:06:16,9.55,,,,,,,,,,,,,,,,1.047
94,20-Jun-2012,Wednesday,,,,,,,,,,,,,,,,,,,,1.048
95,21-Jun-2012,Thursday,9.8,0:57:03,0:05:49,10.31,,,,,,,,,,,,,,,,1.048
96,22-Jun-2012,Friday,,,,,,,,,,,,,,,,,,,,1.049
97,23-Jun-2012,Saturday,18.02,1:50:49,0:06:08,9.76,,,,,,,,,,,,,,,,1.049
98,24-Jun-2012,Sunday,,,,,,,,,,,,,,,,36.69,,3:43:35,6.10,1.050
99,25-Jun-2012,Monday,5.25,0:30:16,0:05:45,10.41,,,,,,,,,,,,,,,,1.050
100,26-Jun-2012,Tuesday,,,,,,,,,,,,,,,,,,,,1.051
101,27-Jun-2012,Wednesday,10.5,0:58:51,0:05:36,10.71,,,,,,,,,,,,,,,,1.051
102,28-Jun-2012,Thursday,,,,,,,,,,,,,,,,,,,,1.052
103,29-Jun-2012,Friday,,,,,,,,,,,,,,,,,,,,1.052
